_sa_instance_state,VOC,Date,PM2,NO2_PlumeAQI,PM10_PlumeAQI,PM1_PlumeAQI,TripId,NO2,Id,Timestamp,PM10,PM1,VOC_PlumeAQI,PM2_PlumeAQI
<sqlalchemy.orm.state.InstanceState object at 0x000001EEA3CA6FA0>,579,2022-05-14 19:52:36,5.977808,44,12,6,44,0,6038,1652557956,6.977808,0,7,2
<sqlalchemy.orm.state.InstanceState object at 0x000001EEA3CB3040>,595,2022-05-14 19:53:36,2.0,45,4,3,44,0,6039,1652558016,39.127274,0,39,1
<sqlalchemy.orm.state.InstanceState object at 0x000001EEA3CB3070>,576,2022-05-14 19:54:36,2.0,44,4,3,44,0,6040,1652558076,3.0,0,3,1
<sqlalchemy.orm.state.InstanceState object at 0x000001EEA3CB30D0>,572,2022-05-14 19:55:36,2.0,44,4,3,44,0,6041,1652558136,5.151393,0,5,1
<sqlalchemy.orm.state.InstanceState object at 0x000001EEA3CB3130>,555,2022-05-14 19:56:36,2.0,42,4,3,44,0,6042,1652558196,3.0,0,3,1
<sqlalchemy.orm.state.InstanceState object at 0x000001EEA3CB3190>,574,2022-05-14 19:57:36,2.0,44,4,3,44,0,6043,1652558256,3.0,0,3,1
<sqlalchemy.orm.state.InstanceState object at 0x000001EEA3CB31F0>,581,2022-05-14 19:58:36,14.157898,44,28,25,44,0,6044,1652558316,15.157898,0,15,10
<sqlalchemy.orm.state.InstanceState object at 0x000001EEA3CB3250>,590,2022-05-14 19:59:36,2.0,45,4,3,44,0,6045,1652558376,20.129719,0,20,1
<sqlalchemy.orm.state.InstanceState object at 0x000001EEA3CB32B0>,588,2022-05-14 20:00:36,43.20883,45,86,70,44,0,6046,1652558436,54.762115,0,58,28
<sqlalchemy.orm.state.InstanceState object at 0x000001EEA3CB3310>,621,2022-05-14 20:01:36,50.515114,47,101,95,44,0,6047,1652558496,51.515114,0,53,38
