_sa_instance_state,Timestamp,NO2,Id,PM10,PM2,NO2_PlumeAQI,PM10_PlumeAQI,PM1_PlumeAQI,VOC,Date,PM1,VOC_PlumeAQI,PM2_PlumeAQI,TripId
<sqlalchemy.orm.state.InstanceState object at 0x000002A1EDA21E80>,1652121638,0.0,24547,,,12,0,,154,2022-05-09 18:40:38,0.0,0,,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1EDA21EB0>,1652121698,0.0,24548,3.0,2.0,12,4,3.0,151,2022-05-09 18:41:38,0.0,3,1.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1EDA21F10>,1652121758,0.5,24549,3.0,2.0,10,4,3.0,129,2022-05-09 18:42:38,0.5,3,1.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1EDA21F70>,1652121818,1.0,24550,26.903101,2.3788128,10,5,3.0,121,2022-05-09 18:43:38,1.0,27,1.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1ED7E2040>,1652121878,3.0,24551,8.108444,2.0,10,4,3.0,120,2022-05-09 18:44:38,3.0,8,1.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1ED7E2070>,1652121938,4.0,24552,3.0,2.0,10,4,3.0,121,2022-05-09 18:45:38,3.0,3,1.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1ED7E20D0>,1652121998,5.0,24553,3.0,2.0,10,4,3.0,119,2022-05-09 18:46:38,4.0,3,1.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1ED7E2130>,1652122058,6.0,24554,77.41433,5.533264,10,11,3.0,121,2022-05-09 18:47:38,6.0,96,1.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1ED7E2190>,1652122118,8.0,24555,128.28539,10.947414,9,22,3.0,110,2022-05-09 18:48:38,7.0,130,1.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1ED7E21F0>,1652122178,11.0,24556,73.781105,4.541321,7,9,3.0,87,2022-05-09 18:49:38,10.0,90,1.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1ED7E2250>,1652122238,10.0,24557,130.74667,10.21195,8,20,3.0,98,2022-05-09 18:50:38,9.0,132,1.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1ED7E22B0>,1652122298,11.0,24558,6.7172575,5.7172575,7,11,12.0,82,2022-05-09 18:51:38,10.0,7,5.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1ED7E2310>,1652122358,23.0,24559,,,0,0,,56,2022-05-09 18:52:38,22.0,0,,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1ED7E2370>,1652122418,30.0,24560,3.0,2.0,2,4,3.0,30,2022-05-09 18:53:38,32.0,3,1.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1ED7E23D0>,1652122478,28.0,24561,36.209003,3.129056,2,6,3.0,27,2022-05-09 18:54:38,29.0,36,1.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1ED7E2430>,1652122538,24.0,24562,19.213428,2.0,2,4,3.0,25,2022-05-09 18:55:38,24.0,19,1.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1ED7E2490>,1652122598,22.0,24563,3.0,2.0,2,4,3.0,22,2022-05-09 18:56:38,21.0,3,1.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1ED7E24F0>,1652122658,20.0,24564,3.0,2.0,2,4,3.0,21,2022-05-09 18:57:38,19.0,3,1.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1ED7E2550>,1652122718,18.0,24565,15.898359,2.0,2,4,3.0,20,2022-05-09 18:58:38,17.0,16,1.0,200
<sqlalchemy.orm.state.InstanceState object at 0x000002A1ED7E25B0>,1652122778,15.0,24566,3.0,2.0,1,4,3.0,17,2022-05-09 18:59:38,14.0,3,1.0,200
